,name,latitude,longitude
252279166,École primaire privée Saint-François-Régis,43.6087253,3.8715928
585171936,Crèche La Gerbe,43.6052469,3.8706532
585173372,Crèche collective municipale Antigone,43.6072273,3.8845815
585182991,Crèche collective municipale Les Sept Nains,43.6142035,3.8795472
585199240,Crèche associative La Bambinerie,43.6115692,3.8551489
595252160,Jardin d'enfant municipal Les Boutons d'Or,43.6220277,3.8884756
595256929,Crèche associative Accroche Cœur,43.6176873,3.8821147
598191190,Jardin d'enfant privé Le Petit Home,43.6158375,3.8628357
600742273,École primaire Notre-Dame de Bonne-Nouvelle,43.6070596,3.8811091
607355557,Crèche municipale Edelweiss,43.6034665,3.880709
613535562,Crèche parentale Les Moussaillons,43.6070489,3.8613663
621911520,Halte-garderie municipale Mary Poppins,43.5965742,3.8702654
629020994,Lieu de rencontre parents-enfants Le Baobab,43.6087716,3.8876144
629025208,Lieu de rencontre parents-enfants Montpellier Gambetta,43.6056122,3.8735178
629724563,École primaire privée Calandreta Dau Clapas,43.601076,3.8631487
1383155515,Collège privé Saint-François-Régis,43.608848,3.8718481
1385997060,École Sainte-Émilie,43.5995,3.8687829
1386082318,Crèche Les jardins de Flore,43.6169005,3.8685024
1600986873,Crèche Pinocchio,43.6173132,3.878468
1623987098,Crèche municipale Cléonice Pouzin,43.6184205,3.8817711
1723080244,Groupe ETEC,43.6061868,3.8850949
1796022006,Les Ateliers d'Arthur,43.6127763,3.8655309
3234426472,Lycée professionnel Nevers,43.6210292,3.8701367
3298464261,École primaire privée la Tour des Pins,43.6130014,3.8801446
3392926996,Cours PI / Operation Bilingue,43.6041294,3.8739686
4466392107,Crèche associative L'Arbre à Chouette,43.6235459,3.88893
4492782249,École d'Adaptation Centre APAJ,43.6052363,3.8711301
4504038738,Pôle Sup,43.6084098,3.8763119
4504148403,École Technique Privée Esthétique Giorgifont,43.6050475,3.878178
4504148404,École Technique Privée Duclaux,43.6050241,3.8741763
4504148447,École secondaire privée Notre-Dame,43.6238838,3.8789658
4539385901,Halte-garderie L'île aux trésors,43.6174016,3.8784883
7111746585,Alliance French De Montpellier,43.6066693,3.8725827
7306580347,École primaire occitane Calandreta Dau Chivalet,43.6005101,3.8603204
7466108068,Les petits chaperons rouges,43.5992919,3.8759095
7466108069,esdac - école de design,43.5996655,3.8759008
